subplot,veg_plot,quadrant,species,base_D,height_2021,collection_date,quadrant_fern_tally,,,,,,,,,
A04E,SW,NW,ACPE,4.45,29.8,7/23/21,,,,,,,,,,
A04E,SW,NW,ACSA,1.75,9.7,7/23/21,,,,,,,,,,
A04E,SW,NW,ACPE,6,76.7,7/23/21,,,,,,,,,,
A04E,SW,NW,ACRU,2.5,18,7/23/21,,,,,,,,,,
A04E,SW,NW,ACSA,4,25.9,7/23/21,,,,,,,,,,
A04E,SW,NW,ACPE,2.6,24.3,7/23/21,,,,,,,,,,
A04E,SW,NW,ACPE,2.1,16.9,7/23/21,,,,,,,,,,
A04E,SW,NW,ACPE,6.2,51.4,7/23/21,,,,,,,,,,
A04E,SW,NW,ACSA,4.45,43.5,7/23/21,,,,,,,,,,
A04E,SW,NW,ACPE,3.8,24.2,7/23/21,,,,,,,,,,
A04E,NW,NW,ACSA,1.25,12.3,7/23/21,,,,,,,,,,
A04E,NW,NW,ACPE,3.7,28.5,7/23/21,,,,,,,,,,
A04E,NW,NW,ACSA,4.1,12.5,7/23/21,,,,,,,,,,
A04E,NW,NW,ACSA,2,11.8,7/23/21,,,,,,,,,,
A04E,NW,NW,ACPE,1,9.1,7/23/21,,,,,,,,,,
A04E,NW,NW,ACPE,5.7,55,7/23/21,,,,,,,,,,
A04E,NE,NW,ACPE,2.9,22,7/23/21,,,,,,,,,,
A04E,NE,NW,FAGR,3.8,38,7/23/21,,,,,,,,,,
A04E,NE,NW,ACSA,1.4,10.7,7/23/21,,,,,,,,,,
A04E,NE,NW,ACSA,2.3,9.4,7/23/21,,,,,,,,,,
A04E,NE,NW,ACSA,2.4,13.2,7/23/21,,,,,,,,,,
A04E,NE,NW,ACRU,1.65,11,7/23/21,,,,,,,,,,
A04E,NE,NW,ACSA,1.3,8.9,7/23/21,,,,,,,,,,
A04E,NE,NW,ACSA,1.7,10.9,7/23/21,,,,,,,,,,
A04E,NE,NW,ACPE,1.1,8.9,7/23/21,,,,,,,,,,
A04E,NE,NW,ACSA,1.9,7,7/23/21,,,,,,,,,,
A04E,NE,NW,ACSA,1.25,9.3,7/23/21,,,,,,,,,,
A04E,NE,NW,ACPE,1.4,6.3,7/23/21,,,,,,,,,,
A04E,NE,NW,ACSA,1.9,10.7,7/23/21,,,,,,,,,,
A04E,NE,NW,ACSA,1.4,14.5,7/23/21,,,,,,,,,,
A04E,NE,NW,ACSA,1.55,12,7/23/21,,,,,,,,,,
A04E,NE,NW,ACSA,1.5,8.3,7/23/21,,,,,,,,,,
A04E,NE,NW,ACSA,3.55,26.6,7/23/21,,,,,,,,,,
A04E,NE,NW,ACPE,1.15,12.3,7/23/21,,,,,,,,,,
A04E,NE,NW,ACPE,4.15,28.4,7/23/21,,,,,,,,,,
A04E,NE,NW,ACSA,1.7,12.5,7/23/21,,,,,,,,,,
A04E,NE,NW,ACSA,1.4,8.3,7/23/21,,,,,,,,,,
A04E,NE,NW,ACSA,1.4,8,7/23/21,,,,,,,,,,
A04E,NE,NW,ACSA,1.7,12.1,7/23/21,,,,,,,,,,
A04E,NE,NW,ACRU,1.2,9.8,7/23/21,,,,,,,,,,
A04E,NE,NW,ACSA,1.7,14.8,7/23/21,,,,,,,,,,
A04E,NE,NW,ACSA,1.5,13,7/23/21,,,,,,,,,,
A04E,NE,NW,POGR,2.05,7.5,7/23/21,,,,,,,,,,
A04E,NE,NW,ACRU,1.2,8.3,7/23/21,,,,,,,,,,
A04E,NE,NW,ACPE,2.3,21.8,7/23/21,,,,,,,,,,
A04E,SE,NW,ACSA,1.55,11.8,7/23/21,,,,,,,,,,
A04E,SE,NW,ACSA,1.1,8,7/23/21,,,,,,,,,,
A04E,SE,NW,ACPE,1.15,10.3,7/23/21,,,,,,,,,,
A04E,SE,NW,ACSA,1.1,11.5,7/23/21,,,,,,,,,,
A04E,SE,NW,ACSA,2.2,19.6,7/23/21,,,,,,,,,,
A04E,SE,NW,ACPE,1.6,11.4,7/23/21,,,,,,,,,,
A04E,SE,NW,ACSA,1.8,23,7/23/21,,,,,,,,,,
A04E,SE,NW,ACPE,4.8,61,7/23/21,,,,,,,,,,
A04E,SE,NW,ACPE,9,112,7/23/21,,,,,,,,,,
A02W,NW,SE,ACPE,15.6,128.4,7/22/21,,,,,,,,,,
A02W,NW,SE,ACSA,5.2,15.2,7/22/21,,,,,,,,,,
A02W,NW,SE,ACPE,14.95,134.6,7/22/21,,,,,,,,,,
A02W,NW,SE,ACPE,6.8,78.3,7/22/21,,,,,,,,,,
A02W,NW,SE,ACPE,13.15,154.5,7/22/21,,,,,,,,,,
A02W,NW,SE,ACPE,11.4,113.1,7/22/21,,,,,,,,,,
A02W,NW,SE,ACPE,4.35,50.4,7/22/21,,,,,,,,,,
A02W,NW,SE,ACSA,3,12.2,7/22/21,,,,,,,,,,
A02W,NW,SE,ACPE,9.75,115.5,7/22/21,,,,,,,,,,
A02W,NW,SE,ACPE,6,83.1,7/22/21,,,,,,,,,,
A02W,NW,SE,ACPE,7.75,89,7/22/21,,,,,,,,,,
A02W,NW,SE,ACSA,2.3,11.9,7/22/21,,,,,,,,,,
A02W,NW,SE,AMEL,4.5,38.6,7/22/21,,,,,,,,,,
A02W,NW,SE,AMEL,4.4,28.8,7/22/21,,,,,,,,,,
A02W,NW,SE,AMEL,3.2,27,7/22/21,,,,,,,,,,
A02W,NW,SE,ACRU,2.5,12.3,7/22/21,,,,,,,,,,
A02W,NW,SE,ACPE,1.6,6.9,7/22/21,,,,,,,,,,
A02W,NW,SE,ACPE,0.85,9.1,7/22/21,,,,,,,,,,
A02W,NE,SE,ACSA,2,12.7,7/22/21,,,,,,,,,,
A02W,NE,SE,ACSA,2.45,16.6,7/22/21,,,,,,,,,,
A02W,NE,SE,ACSA,1.7,12.3,7/22/21,,,,,,,,,,
A02W,NE,SE,ACSA,2.3,13.9,7/22/21,,,,,,,,,,
A02W,NE,SE,ACPE,1.35,9,7/22/21,,,,,,,,,,
A02W,NE,SE,ACSA,3,20.6,7/22/21,,,,,,,,,,
A02W,NE,SE,ACPE,3.3,14.7,7/22/21,,,,,,,,,,
A02W,NE,SE,ACPE,2.65,12.4,7/22/21,,,,,,,,,,
A02W,NE,SE,ACPE,16.45,119.4,7/22/21,,,,,,,,,,
A02W,NE,SE,ACPE,2.9,16.3,7/22/21,,,,,,,,,,
A02W,NE,SE,ACRU,1.75,9.1,7/22/21,,,,,,,,,,
A02W,NE,SE,ACSA,1.6,10.1,7/22/21,,,,,,,,,,
A02W,NE,SE,ACSA,2.15,16.7,7/22/21,,,,,,,,,,
A02W,NE,SE,ACSA,1.7,13.2,7/22/21,,,,,,,,,,
A02W,NE,SE,ACPE,6.4,58.4,7/22/21,,,,,,,,,,
A02W,NE,SE,ACPE,10.3,43.2,7/22/21,,,,,,,,,,
A02W,NE,SE,ACPE,3.3,36.5,7/22/21,,,,,,,,,,
A02W,NE,SE,ACPE,5,62,7/22/21,,,,,,,,,,
A02W,NE,SE,ACSA,1.5,8.5,7/22/21,,,,,,,,,,
A02W,NE,SE,ACPE,3.65,16.4,7/22/21,,,,,,,,,,
A02W,NE,SE,ACPE,9.5,56.8,7/22/21,,,,,,,,,,
A02W,NE,SE,ACPE,5.5,53.3,7/22/21,,,,,,,,,,
A02W,NE,SE,ACSA,2.15,16.8,7/22/21,,,,,,,,,,
A02W,SE,SE,ACPE,4.15,28.3,7/22/21,,,,,,,,,,
A02W,SE,SE,ACPE,9.2,138,7/22/21,,,,,,,,,,
A01W,SE,SE,ACRU,1.65,12,7/22/21,,,,,,,,,,
A01W,SE,SE,ACSA,2.15,9.8,7/22/21,,,,,,,,,,
A01W,SE,SE,ACPE,3.9,24,7/22/21,,,,,,,,,,
A01W,SE,SE,ACPE,4.6,37,7/22/21,,,,,,,,,,
A01W,SE,SE,ACPE,1.6,9.7,7/22/21,,,,,,,,,,
A01W,SE,SE,ACPE,9.5,82,7/22/21,,,,,,,,,,
A01W,SE,SE,AMEL,3.8,15.7,7/22/21,,,,,,,,,,
A01W,SE,SE,ACPE,10.2,106,7/22/21,,,,,,,,,,
A01W,NE,SE,FAGR,17.75,152.5,7/22/21,,,,,,,,,,
A01W,NE,SE,FAGR,9,116.5,7/22/21,,,,,,,,,,
A01W,NE,SE,ACPE,18.4,32.4,7/22/21,,,,,,,,,,
A01W,NE,SE,ACPE,5.25,34,7/22/21,,,,,,,,,,
A01W,NE,SE,AMEL,4.15,26.6,7/22/21,,,,,,,,,,
A01W,NE,SE,AMEL,2.05,20.4,7/22/21,,,,,,,,,,
A01W,NE,SE,ACPE,4.85,36.4,7/22/21,,,,,,,,,,
A01W,NE,SE,ACPE,2.5,25.2,7/22/21,,,,,,,,,,
A01W,NE,SE,ACPE,2.45,20.6,7/22/21,,,,,,,,,,
A01W,NE,SE,ACPE,2,16.5,7/22/21,,,,,,,,,,
A01W,NE,SE,ACPE,3.9,26.2,7/22/21,,,,,,,,,,
A01W,NE,SE,FAGR,16.15,188.7,7/22/21,,,,,,,,,,
A01W,NE,SE,ACPE,8.95,47.1,7/22/21,,,,,,,,,,
A01W,NE,SE,FAGR,2.65,17.8,7/22/21,,,,,,,,,,
A01W,NE,SE,ACPE,6.1,41.5,7/22/21,,,,,,,,,,
A02W,SW,SE,ACPE,4.65,14.9,7/22/21,,,,,,,,,,
A02W,SW,SE,ACSA,4,20.9,7/22/21,,,,,,,,,,
A02W,SW,SE,ACPE,12.85,175.7,7/22/21,,,,,,,,,,
A02W,SW,SE,ACPE,3.15,31.8,7/22/21,,,,,,,,,,
A02W,SW,SE,ACPE,11.2,87.6,7/22/21,,,,,,,,,,
A02W,SW,SE,ACPE,3.2,26.4,7/22/21,,,,,,,,,,
A02W,SW,SE,ACSA,2.55,21.1,7/22/21,,,,,,,,,,
A02W,SW,SE,ACSA,4.2,20.5,7/22/21,,,,,,,,,,
A02W,SW,SE,ACPE,9.45,97.9,7/22/21,,,,,,,,,,
A02W,SW,SE,ACPE,3.7,33.4,7/22/21,,,,,,,,,,
A02W,SW,SE,AMEL,8.65,49.4,7/22/21,,,,,,,,,,
A02W,SW,SE,ACPE,9,80.3,7/22/21,,,,,,,,,,
A02W,SW,SE,ACPE,2.85,12.3,7/22/21,,,,,,,,,,
A02W,SW,SE,ACSA,3.05,25.2,7/22/21,,,,,,,,,,
A02W,SW,SE,ACPE,2.25,18.8,7/22/21,,,,,,,,,,
A02W,SW,SE,ACRU,2.45,11.9,7/22/21,,,,,,,,,,
A02W,SW,SE,ACPE,5,53.1,7/22/21,,,,,,,,,,
A02W,SW,SE,ACPE,6.5,53,7/22/21,,,,,,,,,,
A02W,SW,SE,FAGR,11.75,150.6,7/22/21,,,,,,,,,,
A02W,NW,SE,ACPE,8.25,88.7,7/22/21,,,,,,,,,,
A02W,NW,SE,ACPE,8.1,102.9,7/22/21,,,,,,,,,,
A02W,SE,SE,ACPE,11.2,172.2,7/22/21,,,,,,,,,,
A02W,SE,SE,ACPE,14.6,193,7/22/21,,,,,,,,,,
A02W,SE,SE,ACPE,2,21.6,7/22/21,,,,,,,,,,
A02W,SE,SE,ACPE,10.45,139.5,7/22/21,,,,,,,,,,
A02W,SE,SE,ACPE,9.35,115.5,7/22/21,,,,,,,,,,
A02W,SE,SE,ACPE,8.4,121.2,7/22/21,,,,,,,,,,
A02W,SE,SE,ACPE,2.3,17.5,7/22/21,,,,,,,,,,
A02W,SE,SE,ACPE,1.7,15.1,7/22/21,,,,,,,,,,
A02W,SE,SE,ACPE,5.25,62.9,7/22/21,,,,,,,,,,
A02W,SE,SE,ACPE,5.5,68.7,7/22/21,,,,,,,,,,
A02W,SE,SE,ACPE,3,15.9,7/22/21,,,,,,,,,,
A02W,SE,SE,ACPE,6.35,98,7/22/21,,,,,,,,,,
A02W,SE,SE,ACPE,3.85,26.5,7/22/21,,,,,,,,,,
A02W,SE,SE,ACPE,4.2,59.5,7/22/21,,,,,,,,,,
A02W,SE,SE,ACPE,3.65,30.7,7/22/21,,,,,,,,,,
A02W,SE,SE,FAGR,5.1,35.5,7/22/21,,,,,,,,,,
A02W,SE,SE,ACPE,1.6,11.1,7/22/21,,,,,,,,,,
A02W,SE,SE,ACPE,4.85,62.7,7/22/21,,,,,,,,,,
A02W,SE,SE,ACPE,3.15,34,7/22/21,,,,,,,,,,
A02W,SE,SE,ACPE,6.5,89.1,7/22/21,,,,,,,,,,
A02E,NE,NW,ACSA,1.35,11.1,7/23/21,,,,,,,,,,
A02E,NE,NW,ACPE,2.7,14.6,7/23/21,,,,,,,,,,
A02E,NE,NW,ACPE,2,14.2,7/23/21,,,,,,,,,,
A02E,NE,NW,ACPE,1,5.3,7/23/21,,,,,,,,,,
A02E,NE,NW,ACPE,1.05,3.4,7/23/21,,,,,,,,,,
A02E,NE,NW,ACPE,1.15,15,7/23/21,,,,,,,,,,
A02E,NE,NW,ACPE,1.65,11.2,7/23/21,,,,,,,,,,
A02E,NE,NW,ACSA,1.6,11.4,7/23/21,,,,,,,,,,
A02E,NE,NW,ACPE,1.95,17.6,7/23/21,,,,,,,,,,
A02E,NE,NW,ACPE,8.55,102.1,7/23/21,,,,,,,,,,
A02E,NE,NW,ACSA,1.25,11,7/23/21,,,,,,,,,,
A02E,NE,NW,ACPE,1.1,6,7/23/21,,,,,,,,,,
A02E,NE,NW,ACPE,1.15,6.2,7/23/21,,,,,,,,,,
A02E,NE,NW,ACPE,1.25,15.4,7/23/21,,,,,,,,,,
A02E,NE,NW,ACPE,0.75,5.6,7/23/21,,,,,,,,,,
A02E,NE,NW,ACRU,0.7,7.5,7/23/21,,,,,,,,,,
A02E,NE,NW,ACPE,0.9,6.3,7/23/21,,,,,,,,,,
A02E,NE,NW,ACSA,1.55,12.2,7/23/21,,,,,,,,,,
A02E,NE,NW,ACPE,3.1,20.7,7/23/21,,,,,,,,,,
A02E,NE,NW,ACPE,0.95,5.7,7/23/21,,,,,,,,,,
A02E,NE,NW,ACSA,1.65,11.4,7/23/21,,,,,,,,,,
A02E,NE,NW,ACPE,5.1,32,7/23/21,,,,,,,,,,
A02E,NE,NW,ACSA,1.8,16.3,7/23/21,,,,,,,,,,
A02E,NE,NW,ACPE,7,50.5,7/23/21,,,,,,,,,,
A02E,SE,NW,ACSA,1.65,10.2,7/23/21,,,,,,,,,,
A02E,SE,NW,ACPE,2.85,17.8,7/23/21,,,,,,,,,,
A02E,SE,NW,ACPE,0.8,4.2,7/23/21,,,,,,,,,,
A02E,SE,NW,ACPE,4.55,32.3,7/23/21,,,,,,,,,,
A02E,SE,NW,ACPE,9.3,44.1,7/23/21,,,,,,,,,,
A02E,SE,NW,ACSA,1.5,13.8,7/23/21,,,,,,,,,,
A02E,SE,NW,ACSA,1.4,8.4,7/23/21,,,,,,,,,,
A02E,SE,NW,ACSA,1.55,13.3,7/23/21,,,,,,,,,,
A02E,SE,NW,AMEL,2,15.6,7/23/21,,,,,,,,,,
A02E,SE,NW,ACSA,1.9,19.6,7/23/21,,,,,,,,,,
A02E,SE,NW,AMEL,4.3,29.2,7/23/21,,,,,,,,,,
A02E,SE,NW,AMEL,3,25.9,7/23/21,,,,,,,,,,
A02E,SE,NW,ACPE,4.5,38.3,7/23/21,,,,,,,,,,
A02E,SW,NW,ACPE,3.5,31.6,7/23/21,,,,,,,,,,
A02E,SW,NW,ACPE,2.75,15,7/23/21,,,,,,,,,,
A02E,SW,NW,ACSA,1.65,11.4,7/23/21,,,,,,,,,,
A02E,SW,NW,ACPE,2.6,23.4,7/23/21,,,,,,,,,,
A02E,SW,NW,ACPE,3.05,23.3,7/23/21,,,,,,,,,,
A02E,SW,NW,ACPE,4.15,36.3,7/23/21,,,,,,,,,,
A02E,SW,NW,ACPE,3.2,14.3,7/23/21,,,,,,,,,,
A02E,SW,NW,ACPE,3.5,31.8,7/23/21,,,,,,,,,,
A02E,SW,NW,ACPE,5.2,58,7/23/21,,,,,,,,,,
A02E,SW,NW,AMEL,5.15,32.5,7/23/21,,,,,,,,,,
A02E,SW,NW,ACPE,2.25,25.3,7/23/21,,,,,,,,,,
A02E,SW,NW,ACPE,1.95,16.9,7/23/21,,,,,,,,,,
A02E,SW,NW,ACPE,1.9,21,7/23/21,,,,,,,,,,
A02E,SW,NW,ACPE,1.5,13.9,7/23/21,,,,,,,,,,
A02E,SW,NW,ACPE,2,23.4,7/23/21,,,,,,,,,,
A02E,SW,NW,ACPE,3.85,41.6,7/23/21,,,,,,,,,,
A02E,SW,NW,ACPE,2.8,32.1,7/23/21,,,,,,,,,,
A02E,SW,NW,ACPE,1.2,6.7,7/23/21,,,,,,,,,,
A02E,SW,NW,ACPE,12,159.8,7/23/21,,,,,,,,,,
A02E,SW,NW,ACPE,3.45,30.7,7/23/21,,,,,,,,,,
A02E,SW,NW,ACPE,4.15,30.7,7/23/21,,,,,,,,,,
A02E,SW,NW,ACSA,1.65,11.1,7/23/21,,,,,,,,,,
A02E,SW,NW,ACSA,1.45,11.1,7/23/21,,,,,,,,,,
A02E,SW,NW,ACPE,5.1,43.9,7/23/21,,,,,,,,,,
A02E,SW,NW,ACPE,4.15,37.7,7/23/21,,,,,,,,,,
A02E,SW,NW,ACPE,3.2,30.2,7/23/21,,,,,,,,,,
A02E,SW,NW,ACPE,2.4,18.5,7/23/21,,,,,,,,,,
A02E,SW,NW,ACSA,3.45,15,7/23/21,,,,,,,,,,
A02E,SW,NW,ACPE,1.2,6.8,7/23/21,,,,,,,,,,
A02E,SW,NW,ACPE,1.85,12.7,7/23/21,,,,,,,,,,
,,,,,,,,,,,,,,,,
A04W,SW,NW,ACSA,2.25,12.6,7/23/21,,,,,,,,,,
A04W,SW,NW,ACSA,1.5,8.1,7/23/21,,,,,,,,,,
A04W,SW,NW,ACSA,1.45,7.4,7/23/21,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
A04W,SW,NW,ACPE,5,42.2,7/23/21,,,,,,,,,,
,,,,,,,,,,,,,,,,
A04W,SW,NW,ACPE,1.35,8.1,7/23/21,,,,,,,,,,
A04W,SW,NW,POGR,1.3,3.5,7/23/21,,,,,,,,,,
A04W,SW,NW,ACSA,1.55,9.6,7/23/21,,,,,,,,,,
A04W,SE,NW,ACSA,1.9,10.9,7/23/21,,,,,,,,,,
A04W,SE,NW,ACSA,1.85,11.8,7/23/21,,,,,,,,,,
A04W,SE,NW,ACSA,2.7,19.1,7/23/21,,,,,,,,,,
A04W,SE,NW,ACSA,1.7,11.6,7/23/21,,,,,,,,,,
A04W,SE,NW,ACPE,1.05,6.7,7/23/21,,,,,,,,,,
A04W,SE,NW,ACPE,1.2,6.1,7/23/21,,,,,,,,,,
A04W,SE,NW,ACPE,1.15,8.6,7/23/21,,,,,,,,,,
A04W,SE,NW,ACSA,1.8,10,7/23/21,,,,,,,,,,
A04W,SE,NW,ACSA,1.6,11.5,7/23/21,,,,,,,,,,
A04W,NE,NW,AMEL,3.45,18.8,7/23/21,,,,,,,,,,
A04W,NE,NW,ACPE,1,7.2,7/23/21,,,,,,,,,,
A04W,NE,NW,ACPE,1.1,7.6,7/23/21,,,,,,,,,,
A04W,NE,NW,ACPE,1.1,8.5,7/23/21,,,,,,,,,,
A04W,NE,NW,ACSA,1.55,9.4,7/23/21,,,,,,,,,,
A04W,NE,NW,ACPE,1.2,8.7,7/23/21,,,,,,,,,,
A04W,NE,NW,ACPE,1.2,7.5,7/23/21,,,,,,,,,,
A04W,NE,NW,ACSA,1.45,10.9,7/23/21,,,,,,,,,,
A04W,NE,NW,ACSA,1.55,11.7,7/23/21,,,,,,,,,,
A04W,NE,NW,ACSA,1.4,10.4,7/23/21,,,,,,,,,,
A04W,NE,NW,ACSA,1.65,10.5,7/23/21,,,,,,,,,,
A04W,NE,NW,FAGR,6.2,56.6,7/23/21,,,,,,,,,,
A04W,NE,NW,ACSA,1.65,12.9,7/23/21,,,,,,,,,,
A04W,NE,NW,ACSA,1.1,12.2,7/23/21,,,,,,,,,,
A04W,NE,NW,ACSA,2.05,12.7,7/23/21,,,,,,,,,,
A04W,NE,NW,ACSA,1.25,9.8,7/23/21,,,,,,,,,,
A04W,NE,NW,ACSA,1.9,11.3,7/23/21,,,,,,,,,,
A04W,NW,NW,ACSA,2.2,21.3,7/23/21,,,,,,,,,,
A04W,NW,NW,ACSA,1.3,12.5,7/23/21,,,,,,,,,,
A04W,NW,NW,ACSA,1.85,12.6,7/23/21,,,,,,,,,,
A04W,NW,NW,ACPE,8.45,83,7/23/21,,,,,,,,,,
A04W,NW,NW,ACPE,3.2,39.7,7/23/21,,,,,,,,,,
A04W,NW,NW,ACSA,1.6,9.8,7/23/21,,,,,,,,,,
A02E,NW,NW,ACPE,4.15,25.6,7/23/21,,,,,,,,,,
A02E,NW,NW,ACPE,3.6,38,7/23/21,,,,,,,,,,
A02E,NW,NW,ACPE,4.9,34.6,7/23/21,,,,,,,,,,
