uniqueID,quadrat,species,tag,DBH_mm,date,
B03E6,SW,QURU,3268,33.05,2021-06-22,
B03E6,SW,AMEL,3269,12.55,2021-06-22,
B03E8,NW,ACSA,2133,32.45,2021-06-22,
B03E8,NW,ACSA,2129,18.15,2021-06-22,
B03E8,NW,ACSA,2130,30.85,2021-06-22,
B03E8,NW,AMEL,2132,31.05,2021-06-22,
B03E8,NW,AMEL,2131,21.9,2021-06-22,
B03W2,NE,ACRU,3274,74.6,2021-06-22,
B03W2,NE,FAGR,3275,24.25,2021-06-22,
B03W4,SE,FAGR,2003,30.6,2021-06-22,
B03W4,SE,FAGR,3277,14.55,2021-06-22,
B03W6,SW,ACPE,3281,30.95,2021-06-22,
B03W6,SW,ACRU,3278,20.68,2021-06-22,
B03W8,NW,ACPE,2061,24.05,2021-06-22,
B03W8,NW,ACPE,3282,24.1,2021-06-22,
B03W8,NW,FAGR,2060,32.35,2021-06-22,
B03W8,NW,FAGR,2062,32.9,2021-06-22,
B04E2,NE,ACPE,2263,16.6,2021-06-22,
B04E2,NE,ACPE,2262,29.7,2021-06-22,
B04E2,NE,QURU,4117,48.05,2021-06-22,
B04E4,SE,ACRU,4119,22.8,2021-06-22,
B04E4,SE,ACRU,4118,19.15,2021-06-22,
B04E6,SW,ACRU,2311,18.6,2021-06-22,
B04E6,SW,ACRU,2312,18.8,2021-06-22,
B04E8,NW,QURU,4115,31.25,2021-06-22,
B04E8,NW,FAGR,4116,22.25,2021-06-22,
B04W2,NE,ACRU,4198,41.25,2021-06-22,
B04W2,NE,ACRU,2155,24.15,2021-06-22,
B04W4,SE,ACRU,4120,22.45,2021-06-22,
B04W4,SE,QURU,4121,42.55,2021-06-22,
B04W6,SW,FAGR,2206,16,2021-06-22,
B04W6,SW,QURU,4127,35.5,2021-06-22,
B04W8,NW,ACRU,2229,38.75,2021-06-22,needs new wire
B04W8,NW,ACPE,2226,34.25,2021-06-22,
B04W8,NW,ACPE,2227,23,2021-06-22,
B04W8,NW,ACPE,2228,25.55,2021-06-22,
C01E2,NE,PIST,737,47.65,2021-06-23,
C01E2,NE,PIST,736,59.6,2021-06-23,
C01E4,SE,PIST,3961,16.4,2021-06-23,
C01E4,SE,PIST,3960,63.3,2021-06-23,
C01E6,SW,ACRU,3964,34.45,2021-06-23,
C01E6,SW,ACRU,3965,15.2,2021-06-23,
C01E8,NW,FAGR,806,58.35,2021-06-23,
C01E8,NW,ACRU,3967,29.6,2021-06-23,
C01W2,NE,ACRU,3945,50.05,2021-06-23,
C01W2,NE,PIST,3946,28.05,2021-06-23,
C01W4,SE,PIST,875,27.95,2021-06-23,
C01W4,SE,PIST,876,27.7,2021-06-23,
C01W6,SW,PIST,3952,14.85,2021-06-23,
C01W6,SW,PIST,848,14.65,2021-06-23,
C01W8,NW,PIST,3956,28.9,2021-06-23,
C01W8,NW,QURU,3957,35,2021-06-23,
C02E2,NE,ACRU,3983,67.45,2021-06-23,
C02E2,NE,ACPE,3984,81.9,2021-06-23,
C02E4,SE,ACPE,3986,14.35,2021-06-23,
C02E4,SE,PIST,3987,21.7,2021-06-23,
C02E6,SW,PIST,1101,24.3,2021-06-23,
C02E6,SW,PIST,1102,23.25,2021-06-23,
C02E8,NW,ACPE,3991,29.45,2021-06-23,
C02E8,NW,PIST,3994,12.7,2021-06-23,
C02W2,NE,AMEL,3971,23.5,2021-06-23,
C02W2,NE,ACPE,3972,54.15,2021-06-23,
C02W4,SE,PIST,3975,23.75,2021-06-23,
C02W4,SE,FAGR,3973,42.2,2021-06-23,
C02W6,SW,ACRU,931,17.2,2021-06-23,
C02W6,SW,ACPE,934,14.1,2021-06-23,
C02W8,NW,ACRU,901,62.6,2021-06-23,
C02W8,NW,FAGR,3978,33.95,2021-06-23,
C03E2,NE,ACPE,1272,28.5,2021-06-23,
C03E2,NE,ACPE,1273,32.45,2021-06-23,
C03E2,NE,ACPE,1274,15.7,2021-06-23,
C03E4,SE,PIST,3180,46.6,2021-06-23,
C03E4,SE,PIST,1306,40.3,2021-06-23,
C03E6,SW,PIST,1332,16.35,2021-06-23,
C03E6,SW,PIST,1333,31.85,2021-06-23,
C03E8,NW,ACPE,3184,24.75,2021-06-23,
C03E8,NW,ACPE,3185,16.4,2021-06-23,
C03W2,NE,PIST,1166,73.65,2021-06-23,
C03W2,NE,ACPE,3166,,2021-06-23,MIA
C03W4,SE,FAGR,1198,85.9,2021-06-23,
C03W4,SE,ACPE,3169,12.95,2021-06-23,
C03W6,SW,ACPE,3173,24.85,2021-06-23,
C03W6,SW,ACPE,3177,78.6,2021-06-23,
C03W8,NW,ACPE,3178,22.2,2021-06-23,
C03W8,NW,FAGR,3174,73.8,2021-06-23,
C04E2,NE,ACPE,3329,13.75,2021-06-23,
C04E2,NE,PIST,3332,22.45,2021-06-23,
C04E4,SE,ACRU,3336,61.65,2021-06-23,
C04E4,SE,PIST,3337,28.1,2021-06-23,
C04E6,SW,PIST,1515,16.45,2021-06-23,
C04E6,SW,PIST,3341,24.3,2021-06-23,
C04E8,NW,PIST,3345,31.05,2021-06-23,
C04E8,NW,PIST,3346,18.4,2021-06-23,
C04W2,NE,ACRU,3312,60.95,2021-06-23,
C04W2,NE,PIST,3315,14.65,2021-06-23,
C04W4,SE,FAGR,3319,49.05,2021-06-23,
C04W4,SE,FAGR,3320,49.75,2021-06-23,
C04W6,SW,PIST,3324,18.6,2021-06-23,
C04W6,SW,PIST,3325,12.1,2021-06-23,
C04W8,NW,ACRU,1451,35.25,2021-06-23,
C04W8,NW,PIST,3328,32.65,2021-06-23,
D01E2,NE,ACRU,647,68.1,2021-06-23,
D01E2,NE,ACRU,648,57.05,2021-06-23,
D01E2,NE,ACRU,649,27.3,2021-06-23,
D01E4,SE,FAGR,667,70.6,2021-06-23,
D01E4,SE,FAGR,668,70.4,2021-06-23,
D01E6,SW,PIST,689,16.55,2021-06-23,
D01E6,SW,PIST,3215,22.3,2021-06-23,
D01E8,NW,PIST,3218,20.4,2021-06-23,
D01E8,NW,PIST,3219,39.9,2021-06-23,
D01W2,NE,PIRE,3222,34.75,2021-06-23,
D01W2,NE,PIST,3223,45.2,2021-06-23,
D01W4,SE,PIST,625,20.45,2021-06-23,
D01W4,SE,PIST,3224,19.9,2021-06-23,
D01W6,SW,PIST,3225,39.85,2021-06-23,
D01W6,SW,POGR,3228,48.7,2021-06-23,
D01W8,NW,PIST,591,77.95,2021-06-23,
D01W8,NW,PIST,3229,36.6,2021-06-23,
D02E2,NE,ACRU,3283,28,2021-06-23,
D02E2,NE,PIST,3285,24.95,2021-06-23,
D02E4,SE,PIST,325,21.3,2021-06-23,
D02E4,SE,ACRU,3287,28.6,2021-06-23,
D02E6,SW,PIST,3291,13.55,2021-06-23,
D02E6,SW,PIST,3292,16.4,2021-06-23,
D02E8,NW,PIST,3296,33.25,2021-06-23,
D02E8,NW,ACRU,3293,22.3,2021-06-23,
D02W2,NE,PIST,3234,50.6,2021-06-23,
D02W2,NE,PIST,3235,42.55,2021-06-23,
D02W4,SE,PIST,3238,19.75,2021-06-23,
D02W4,SE,FAGR,3236,27.65,2021-06-23,
D02W6,SW,PIST,259,23.15,2021-06-23,
D02W6,SW,PIST,3241,21.75,2021-06-23,
D02W8,NW,PIST,277,17.7,2021-06-23,
D02W8,NW,PIST,3244,14.15,2021-06-23,
D03E2,NE,ACRU,3200,60.15,2021-06-23,
D03E2,NE,FAGR,390,23.35,2021-06-23,
D03E4,SE,ACRU,3203,27.6,2021-06-23,
D03E4,SE,ACRU,3204,48.6,2021-06-23,
D03E6,SW,PIST,3207,22.45,2021-06-23,
D03E6,SW,QURU,3206,32.45,2021-06-23,
D03E8,NW,PIRE,3211,24.15,2021-06-23,
D03E8,NW,PIST,3212,76.1,2021-06-23,
D03W2,NE,ACRU,3189,57.65,2021-06-23,
D03W2,NE,PIRE,517,15.7,2021-06-23,
D03W4,SE,QURU,525,56.05,2021-06-23,
D03W4,SE,PIST,3191,27.95,2021-06-23,
D03W6,SW,PIST,3194,20.75,2021-06-23,
D03W6,SW,PIST,3195,16.25,2021-06-23,
D03W8,NW,PIST,580,52.1,2021-06-23,
D03W8,NW,PIST,3199,42.95,2021-06-23,
D04E2,NE,PIST,160,20.05,2021-06-23,
D04E2,NE,PIST,161,66.4,2021-06-23,
D04E4,SE,PIST,3303,25,2021-06-23,
D04E4,SE,FAGR,3304,18.75,2021-06-23,
D04E6,SW,PIST,3308,41.6,2021-06-23,
D04E6,SW,PIRE,3307,42.35,2021-06-23,
D04E8,NW,PIST,3309,28.85,2021-06-23,
D04E8,NW,PIST,3311,46.85,2021-06-23,
D04W2,NE,PIRE,19,18.55,2021-06-23,
D04W2,NE,PIST,15,43.6,2021-06-23,
D04W4,SE,PIST,80,69.75,2021-06-23,
D04W4,SE,PIST,3298,17.2,2021-06-23,
D04W6,SW,PIST,99,47.2,2021-06-23,
D04W6,SW,PIST,101,47.95,2021-06-23,
D04W8,NW,PIST,3300,16.05,2021-06-23,
D04W8,NW,PIST,123,23.45,2021-06-23,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,measured at 85 mm DBH; only counting growth within the size class
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
D01E6,SW,PIST,3215,21.4,2020-11-19,
D01E8,NW,PIST,3218,17.4,2020-11-19,
D01E8,NW,PIST,3219,39,2020-11-19,
D01W2,NE,PIRE,3222,34,2020-11-19,
D01W2,NE,PIST,3223,43.8,2020-11-19,
D01W4,SE,PIST,625,20.1,2020-11-19,
D01W4,SE,PIST,3224,19.5,2020-11-19,
D01W6,SW,PIST,3225,38.2,2020-11-19,
D01W6,SW,POGR,3228,48,2020-11-19,
D01W8,NW,PIST,591,77.6,2020-11-19,
D01W8,NW,PIST,3229,36.1,2020-11-19,
D02E2,NE,ACRU,3283,24,2020-11-19,
D02E2,NE,PIST,3285,21.7,2020-11-19,
D02E4,SE,PIST,325,19.1,2020-11-19,
D02E4,SE,ACRU,3287,25.5,2020-11-19,
D02E6,SW,PIST,3291,11.2,2020-11-19,
D02E6,SW,PIST,3292,14.6,2020-11-19,
D02E8,NW,PIST,3296,31.4,2020-11-19,
D02E8,NW,ACRU,3293,19.9,2020-11-19,
D02W2,NE,PIST,3234,44.7,2020-11-19,
D02W2,NE,PIST,3235,37.3,2020-11-19,
D02W4,SE,PIST,3238,19.3,2020-11-19,
D02W4,SE,FAGR,3236,21.7,2020-11-19,
D02W6,SW,PIST,259,18.6,2020-11-19,
D02W6,SW,PIST,3241,18.7,2020-11-19,
D02W8,NW,PIST,277,14,2020-11-19,
D02W8,NW,PIST,3244,12.2,2020-11-19,
D03E2,NE,ACRU,3200,28.5,2020-11-19,
D03E2,NE,FAGR,390,22.9,2020-11-19,
D03E4,SE,ACRU,3203,27.6,2020-11-19,
D03E4,SE,ACRU,3204,46.9,2020-11-19,
D03E6,SW,PIST,3207,19.7,2020-11-19,
D03E6,SW,QURU,3206,32.3,2020-11-19,
D03E8,NW,PIRE,3211,22.2,2020-11-19,
D03E8,NW,PIST,3212,74.6,2020-11-19,
D03W2,NE,ACRU,3189,56.8,2020-11-19,
D03W2,NE,PIRE,517,13.9,2020-11-19,
D03W4,SE,QURU,525,54.7,2020-11-19,
D03W4,SE,PIST,3191,28.1,2020-11-19,
D03W6,SW,PIST,3194,20.4,2020-11-19,
D03W6,SW,PIST,3195,14.4,2020-11-19,
D03W8,NW,PIST,580,49.5,2020-11-19,
D03W8,NW,PIST,3199,41.4,2020-11-19,
D04E2,NE,PIST,160,18.6,2020-11-19,
D04E2,NE,PIST,161,60.5,2020-11-19,
D04E4,SE,PIST,3303,22,2020-11-19,
D04E4,SE,FAGR,3304,18.1,2020-11-19,
D04E6,SW,PIST,3308,26.3,2020-11-19,
D04E6,SW,PIRE,3307,39.1,2020-11-19,
D04E8,NW,PIST,3309,26.9,2020-11-19,
D04E8,NW,PIST,3311,45.2,2020-11-19,
D04W2,NE,PIRE,19,16.8,2020-11-19,
D04W2,NE,PIST,15,43.3,2020-11-19,
D04W4,SE,PIST,80,70.5,2020-11-19,
D04W4,SE,PIST,3298,15.4,2020-11-19,
D04W6,SW,PIST,99,43.6,2020-11-19,
D04W6,SW,PIST,101,43.1,2020-11-19,
D04W8,NW,PIST,3300,14.1,2020-11-19,
D04W8,NW,PIST,123,21.4,2020-11-19,
